,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
166859,2019-10-06 16:17:12+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.409,1.389,1,1,1
180223,2019-10-06 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.409,1.389,1,0,0
187083,2019-10-06 17:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.399,1.379,0,1,1
225377,2019-10-06 20:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,0,1,1
227386,2019-10-06 20:57:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,1,1
234481,2019-10-06 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
6943,2019-10-07 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
37808,2019-10-07 08:13:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
53333,2019-10-07 09:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,0,1,1
63455,2019-10-07 09:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,0,1,1
72332,2019-10-07 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.499,1.479,1,1,1
86863,2019-10-07 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,1,1,1
95210,2019-10-07 11:29:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,0,0
124543,2019-10-07 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
138638,2019-10-07 14:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.419,1.399,1,1,1
151036,2019-10-07 14:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,0,0
161798,2019-10-07 15:25:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.379,1.359,1,1,1
165181,2019-10-07 15:41:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.369,1.349,1,1,1
175636,2019-10-07 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
185473,2019-10-07 16:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.409,1.389,1,0,0
203423,2019-10-07 17:49:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,0,1,1
236745,2019-10-07 20:41:08+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,1,1
245289,2019-10-07 22:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
6957,2019-10-08 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.509,1.489,1,1,1
36276,2019-10-08 08:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
