,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
161873,2019-10-06 16:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.429,1.389,1,1,1
179158,2019-10-06 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,0,0
185172,2019-10-06 17:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,1,1
191543,2019-10-06 17:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,0,0
192717,2019-10-06 17:45:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,0,1,1
208401,2019-10-06 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
214241,2019-10-06 19:17:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.399,1.349,1,1,0
224969,2019-10-06 20:33:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.379,1.339,1,1,1
231917,2019-10-06 22:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.439,1.399,1,1,1
3105,2019-10-07 05:01:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
7168,2019-10-07 05:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
24791,2019-10-07 07:35:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.469,1.429,1,1,1
44258,2019-10-07 08:37:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,0,0
54115,2019-10-07 09:20:26+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
64962,2019-10-07 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
85659,2019-10-07 11:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
91864,2019-10-07 11:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,0,0
93539,2019-10-07 11:24:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
117649,2019-10-07 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
120730,2019-10-07 13:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.439,1.399,1,1,1
137365,2019-10-07 14:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.419,1.379,1,1,1
151921,2019-10-07 14:45:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.379,1.339,1,1,1
168324,2019-10-07 16:00:12+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.419,1.379,1,1,1
189291,2019-10-07 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.419,1.379,1,0,0
201405,2019-10-07 17:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.379,1.339,1,1,1
220100,2019-10-07 19:01:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.399,1.339,1,1,0
235680,2019-10-07 20:32:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.379,1.339,1,1,0
243675,2019-10-07 22:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.439,1.399,1,1,1
3513,2019-10-08 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
7212,2019-10-08 05:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
24876,2019-10-08 07:36:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.469,1.429,1,1,1
37834,2019-10-08 08:14:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.469,1.429,1,0,0
44000,2019-10-08 08:39:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
49117,2019-10-08 09:02:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.379,1.339,0,1,1
59972,2019-10-08 09:46:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.369,1.339,1,1,0
63088,2019-10-08 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.399,1,1,1
68968,2019-10-08 10:13:22+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,0,0,1
80578,2019-10-08 10:48:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
92763,2019-10-08 11:27:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.369,1.339,1,1,1
116682,2019-10-08 13:02:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.399,1,1,1
122498,2019-10-08 13:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,0,0,1
134764,2019-10-08 14:03:07+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
147869,2019-10-08 14:41:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.369,1.339,1,1,1
166599,2019-10-08 16:00:13+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.409,1.379,1,1,1
