,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
199983,2019-10-06 18:19:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
208648,2019-10-06 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
214284,2019-10-06 19:18:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
223226,2019-10-06 20:20:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.369,1.349,1,1,1
231083,2019-10-06 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.429,1.409,1,1,1
1879,2019-10-07 05:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
31467,2019-10-07 07:53:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.479,1.459,1,1,1
40882,2019-10-07 08:25:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.479,1.459,1,0,0
47182,2019-10-07 08:52:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.469,1.449,1,1,1
54280,2019-10-07 09:21:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
66045,2019-10-07 10:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
86989,2019-10-07 11:05:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
90290,2019-10-07 11:15:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,0,0
107759,2019-10-07 12:18:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
118753,2019-10-07 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
125325,2019-10-07 13:19:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.429,1.409,1,1,1
139312,2019-10-07 14:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
149551,2019-10-07 14:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,0,0
160086,2019-10-07 15:21:07+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.369,1.349,1,1,1
170587,2019-10-07 16:01:13+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
200633,2019-10-07 17:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,0,0
209735,2019-10-07 18:18:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.369,1.349,1,1,1
217485,2019-10-07 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
234089,2019-10-07 20:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.369,1.349,1,1,1
241968,2019-10-07 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.429,1.409,1,1,1
3315,2019-10-08 05:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
31117,2019-10-08 07:52:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.479,1.459,1,1,1
35925,2019-10-08 08:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.479,1.459,1,0,0
42251,2019-10-08 08:33:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.449,1.429,1,1,1
53322,2019-10-08 09:22:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.369,1.349,1,1,1
57840,2019-10-08 09:37:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.359,1.339,1,1,1
63570,2019-10-08 10:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
84438,2019-10-08 11:04:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,0,0
105519,2019-10-08 12:20:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.359,1.339,1,1,1
115540,2019-10-08 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.439,1.419,1,1,1
137140,2019-10-08 14:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.409,1.389,1,1,1
147227,2019-10-08 14:40:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,0,0
157106,2019-10-08 15:20:06+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.359,1.339,1,1,1
165732,2019-10-08 15:56:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.399,1.379,1,1,1
188430,2019-10-08 17:07:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,0,0
207584,2019-10-08 18:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
217860,2019-10-08 19:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.389,1.369,1,1,1
231384,2019-10-08 20:20:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.369,1.349,1,1,1
241592,2019-10-08 22:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.429,1.409,1,1,1
3756,2019-10-09 05:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.369,1.529,1.509,1,1,1
29971,2019-10-09 07:51:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.469,1.449,1,1,1
32735,2019-10-09 07:58:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.469,1.449,1,0,0
54681,2019-10-09 09:23:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.439,1.419,1,1,1
57443,2019-10-09 09:32:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.429,1.409,1,1,1
66816,2019-10-09 10:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.339,1.489,1.469,1,1,1
67130,2019-10-09 10:02:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.469,1.449,1,1,1
86696,2019-10-09 11:07:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
92151,2019-10-09 11:25:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
107103,2019-10-09 12:23:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.359,1.339,1,1,1
117013,2019-10-09 13:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
137442,2019-10-09 14:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.409,1.389,1,1,1
149208,2019-10-09 14:41:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.409,1.389,1,0,0
159832,2019-10-09 15:22:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
169135,2019-10-09 16:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.389,1.369,1,1,1
190452,2019-10-09 17:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.389,1.369,1,0,0
209690,2019-10-09 18:22:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
216774,2019-10-09 19:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.389,1.369,1,1,1
233682,2019-10-09 20:19:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
243619,2019-10-09 22:01:09+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.409,1.389,1,1,1
3921,2019-10-10 05:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.529,1.509,1,1,1
25731,2019-10-10 07:40:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.449,1.429,1,1,1
31445,2019-10-10 07:55:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.449,1.429,1,0,0
44956,2019-10-10 08:47:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.449,1.429,1,0,0
52879,2019-10-10 09:19:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.429,1.409,1,1,1
56978,2019-10-10 09:32:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.429,1.409,1,0,0
67192,2019-10-10 10:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.489,1.469,1,1,1
72686,2019-10-10 10:20:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
87232,2019-10-10 11:07:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,0,0
92544,2019-10-10 11:23:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.419,1.399,1,0,0
107862,2019-10-10 12:18:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.359,1.339,1,1,1
119136,2019-10-10 13:00:06+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
139393,2019-10-10 14:05:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,1,1
160997,2019-10-10 15:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
171146,2019-10-10 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.389,1.369,1,1,1
192617,2019-10-10 17:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.389,1.369,1,0,0
213271,2019-10-10 18:22:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.349,1.329,1,1,1
220858,2019-10-10 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.389,1.369,1,1,1
230981,2019-10-10 19:31:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.379,1.359,1,1,1
236869,2019-10-10 20:02:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.219,1.349,1.329,1,1,1
246853,2019-10-10 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
745,2019-10-11 05:00:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.369,1.529,1.509,1,1,1
31734,2019-10-11 07:55:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.339,1.469,1.449,1,1,1
32943,2019-10-11 07:58:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.469,1.449,1,0,0
42667,2019-10-11 08:32:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.459,1.439,0,1,1
47456,2019-10-11 08:51:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
49767,2019-10-11 09:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,0,0
54511,2019-10-11 09:20:09+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
54917,2019-10-11 09:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.409,1.389,1,1,1
66993,2019-10-11 10:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.469,1.449,1,1,1
88884,2019-10-11 11:10:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.429,1.409,1,1,1
94963,2019-10-11 11:27:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
103671,2019-10-11 11:59:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
108958,2019-10-11 12:25:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
117533,2019-10-11 13:00:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
137970,2019-10-11 14:05:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
144528,2019-10-11 14:22:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.399,1.379,1,1,1
159447,2019-10-11 15:20:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.219,1.349,1.329,1,1,1
167226,2019-10-11 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.389,1.369,1,1,1
208520,2019-10-11 18:24:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.219,1.349,1.329,1,1,1
216759,2019-10-11 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.389,1.369,1,1,1
229198,2019-10-11 19:54:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.219,1.349,1.329,1,1,1
